id	label	predict_0	predict_1	predict_2	predict_3
5	annoyance	disgust	disgust	anger	disgust
6	surprise	disapproval	disapproval	annoyance	disapproval
7	gratitude	excitement	nervousness	nervousness	excitement
8	admiration	disapproval	disapproval	disapproval	anger
9	neutral	curiosity	curiosity	confusion	curiosity
10	confusion	disapproval	disapproval	curiosity	curiosity
13	annoyance	annoyance	anger	anger	annoyance
16	neutral	disgust	disapproval	disapproval	disgust
20	neutral	neutral	neutral	neutral	confusion
28	confusion	curiosity	curiosity	curiosity	confusion
29	joy	joy	joy	joy	gratitude
30	neutral	disappointment	disapproval	disapproval	disappointment
34	neutral	disappointment	disappointment	disappointment	
35	disapproval	amusement	amusement	disapproval	disapproval
40	neutral	surprise	fear	surprise	surprise
43	neutral	joy	joy	amusement	amusement
48	gratitude	curiosity	neutral	gratitude	curiosity
51	excitement	surprise	surprise	admiration	surprise
52	neutral	neutral	neutral	curiosity	curiosity
63	neutral	confusion	confusion	fear	disgust
64	amusement	anger	disgust	annoyance	anger
66	approval	disapproval	neutral	amusement	neutral
68	approval	optimism	relief	relief	relief
75	remorse	disapproval	disapproval	disapproval	disappointment
78	neutral	disapproval	annoyance	annoyance	annoyance
79	curiosity	confusion	confusion	confusion	curiosity
80	neutral	amusement	amusement	neutral	amusement
81	curiosity		fear	fear	fear
84	annoyance	amusement	amusement	excitement	amusement
86	neutral	disapproval	anger	disapproval	disapproval
88	caring	approval	disapproval	disapproval	
90	neutral	joy	admiration	joy	admiration
93	admiration	admiration	admiration	joy	admiration
94	realization	relief	relief	realization	relief
95	neutral	disapproval	disapproval	annoyance	disapproval
96	joy	annoyance	disapproval	annoyance	annoyance
97	neutral	disgust	embarrassment	disgust	disgust
101	neutral	disapproval	disappointment	disappointment	disapproval
103	annoyance	annoyance	annoyance	annoyance	anger
113	disappointment	disappointment	disappointment		disappointment
119	neutral	neutral	confusion	neutral	neutral
127	admiration	gratitude	admiration	gratitude	gratitude
128	fear	disapproval	disapproval	anger	disapproval
129	love	love	joy	joy	love
131	neutral	disappointment	annoyance	disappointment	disappointment
132	annoyance	disapproval		disapproval	disapproval
133	neutral	neutral	neutral	neutral	curiosity
141	optimism	caring	caring	approval	caring
146	admiration	admiration	admiration	approval	admiration
147	joy	joy	joy	gratitude	approval
151	gratitude	optimism	optimism	gratitude	optimism
152	admiration	admiration	approval	optimism	approval
155	joy	excitement	joy	joy	excitement
157	curiosity	neutral	curiosity	curiosity	curiosity
158	approval				
160	annoyance	disapproval	anger	anger	disapproval
161	approval	anger	disapproval	anger	disapproval
166	love	neutral	disappointment	curiosity	confusion
169	curiosity	curiosity	curiosity	confusion	confusion
170	joy	joy	admiration	admiration	admiration
172	gratitude	curiosity	gratitude	gratitude	curiosity
174	neutral	annoyance	disappointment	disapproval	annoyance
175	approval	approval	approval	neutral	approval
178	confusion	confusion	curiosity	confusion	curiosity
179	neutral	disapproval	neutral	neutral	neutral
184	admiration	admiration	admiration	admiration	approval
185	sadness	sadness	sadness	sadness	disappointment
186	admiration	surprise	confusion	surprise	
191	neutral	confusion	confusion		confusion
195	neutral	disgust	disgust	sadness	disgust
196	approval	neutral	optimism		neutral
197	neutral	disgust	disgust	disappointment	disgust
198	confusion	disapproval	disapproval	disapproval	confusion
199	disapproval	disgust	disgust	disgust	disapproval
201	curiosity	curiosity	confusion	curiosity	confusion
202	neutral	disapproval	disgust	disapproval	disapproval
203	neutral	anger	anger	disgust	anger
205	approval	curiosity	curiosity	confusion	curiosity
210	sadness	sadness	disappointment	sadness	sadness
214	curiosity	neutral	confusion	confusion	neutral
216	annoyance	disapproval	anger	anger	anger
217	sadness	sadness	sadness	sadness	disappointment
219	neutral	disappointment	disappointment	disappointment	surprise
221	neutral	disapproval	disappointment	disappointment	disapproval
222	disappointment	annoyance	disapproval	disapproval	disapproval
224	love	admiration	joy	approval	joy
228	gratitude	disgust	disgust	disgust	anger
229	neutral	neutral	confusion	neutral	neutral
230	annoyance	disapproval	disapproval	annoyance	disapproval
235	disappointment	disappointment	sadness	sadness	disappointment
241	approval	joy	joy	excitement	joy
242	neutral	love	pride	love	love
244	confusion	amusement	amusement	amusement	curiosity
245	approval	optimism	excitement	excitement	optimism
249	neutral	joy	disapproval	amusement	caring
250	disapproval	disapproval	disapproval		disapproval
257	admiration	admiration	admiration	joy	joy
260	disapproval	annoyance	annoyance	annoyance	
262	neutral	disapproval	anger	anger	anger
267	optimism	amusement	amusement	amusement	anger
268	amusement	amusement	amusement	disappointment	amusement
270	neutral	disapproval	disappointment	disapproval	disappointment
273	neutral		disapproval		disappointment
274	surprise	surprise	surprise	surprise	joy
275	annoyance	surprise	curiosity	curiosity	surprise
279	disapproval	confusion	neutral	confusion	curiosity
281	amusement	joy	joy	amusement	joy
286	neutral	curiosity	neutral	curiosity	neutral
287	neutral	disappointment	neutral	neutral	disappointment
289	neutral	fear	disappointment	disappointment	disgust
291	admiration	amusement	amusement	amusement	excitement
294	curiosity	neutral	curiosity	curiosity	curiosity
296	optimism	nervousness	nervousness	nervousness	
297	disgust	embarrassment	embarrassment		embarrassment
299	surprise	annoyance	annoyance	disapproval	amusement